date,symbol,price_usd,volume_usd,market_cap_usd
2024-04-12,BTC,70106.66413070948,30118549149.510498,1379324055321.196
2024-04-13,BTC,67252.10504226631,43471949726.09197,1321648247460.1611
2024-04-14,BTC,64404.82548907413,49214481480.20075,1270009515097.3306
2024-04-15,BTC,65752.66004728881,40292911692.95434,1293286386553.3967
2024-04-16,BTC,63430.5714573684,42796604938.03423,1247928896840.997
2024-04-17,BTC,63720.501587480736,42157169474.39519,1253670904297.4917
2024-04-18,BTC,61328.89798860725,41123362075.93534,1207185042484.4346
2024-04-19,BTC,63461.592695107174,35901618166.42319,1249565911947.3347
2024-04-20,BTC,63988.818471785664,52227787323.81757,1263308149913.607
2024-04-21,BTC,64894.41869109179,16601830590.687477,1277940837359.7852
2024-04-22,BTC,64936.4207567739,19592118541.18973,1279763566407.3762
2024-04-23,BTC,66841.66685207361,27748586313.20611,1317058642854.2856
2024-04-24,BTC,66406.95244392671,23232230785.201836,1306843409278.049
2024-04-25,BTC,64279.51812857524,30939903322.025898,1265541377860.928
2024-04-26,BTC,64486.183359158975,24705345525.57077,1269387456067.624
2024-04-27,BTC,63802.330049258766,23302057197.884678,1255539337969.4697
2024-04-28,BTC,63517.248743409626,19190483386.063873,1249495302303.4912
2024-04-29,BTC,63030.433616681854,16180294651.046635,1240724751365.882
2024-04-30,BTC,63797.67963589958,27242983698.21234,1257159131219.0603
2024-05-01,BTC,60749.47209216387,39533113322.04938,1197773959985.8767
2024-05-02,BTC,58297.574075325494,51109380171.692604,1151677489315.1536
2024-05-03,BTC,59135.1733607733,28255509745.49032,1164721402399.166
2024-05-04,BTC,62839.34073569376,33591665812.212433,1239817041554.716
2024-05-05,BTC,63820.451902924986,20510614461.479218,1257549583083.3145
2024-05-06,BTC,64010.00865210892,18115695040.201984,1259667234461.2874
2024-05-07,BTC,63172.48129551341,17917770174.27797,1244417948315.7583
2024-05-08,BTC,62363.057191718624,19925137720.849453,1229336706399.346
2024-05-09,BTC,61215.50400879193,20303831135.373127,1203918522476.5405
2024-05-10,BTC,63148.599943097026,25837724247.550426,1240910691253.6274
2024-05-11,BTC,60888.21674957157,23987518755.480534,1199393711200.297
2024-05-12,BTC,60776.972079172134,12120618802.065384,1197102943502.2341
2024-05-13,BTC,61507.054004121346,13045696108.912676,1211277523448.5786
2024-05-14,BTC,62878.783300729294,27740460083.601814,1238994152713.125
