date,symbol,price_usd,volume_usd,market_cap_usd
2024-05-06,ETH,3136.57511039041,8027546635.921553,376477227799.9195
2024-05-07,ETH,3064.5913995603364,13196102657.36935,368312963227.33984
2024-05-08,ETH,3015.1597696166846,11727252097.462042,362686607634.315
2024-05-09,ETH,2975.72696606529,10555086522.407984,357038251698.12964
2024-05-10,ETH,3038.3447046668207,10961137747.243969,364426702625.02203
2024-05-11,ETH,2910.684500017475,12185177562.18238,349622946794.7746
2024-05-12,ETH,2908.9827849031903,6479337783.261837,349391330491.6799
2024-05-13,ETH,2931.3106669139133,5237992152.442184,352120009302.884
2024-05-14,ETH,2948.3034552659406,13930280821.074911,354155572145.7024
2024-05-15,ETH,2881.7959916152945,11258734172.441973,346305956691.41315
2024-05-16,ETH,3035.758955126304,13809709402.13564,365225903815.16327
2024-05-17,ETH,2943.5851283842208,11039599517.596857,353501038738.847
2024-05-18,ETH,3095.9968442929658,13846325669.567377,371220670629.6318
2024-05-19,ETH,3120.5493782541066,8357435200.282594,375206332441.6955
2024-05-20,ETH,3071.324418093757,6983633593.912785,368598090418.054
2024-05-21,ETH,3656.390090299324,27159496889.816044,439830728213.1206
2024-05-22,ETH,3792.486220211773,37370060267.60153,455765526085.79254
2024-05-23,ETH,3741.897740560911,24114510372.012993,449694006822.5555
2024-05-24,ETH,3766.398091341944,46761576029.509094,451934122188.91656
2024-05-25,ETH,3727.065981583209,20715688665.955757,447600344544.24176
2024-05-26,ETH,3750.077159389676,8464533427.424917,450038598582.0329
2024-05-27,ETH,3825.277957577714,10540798421.159782,459504483187.0394
2024-05-28,ETH,3893.3921058941055,15290249260.872213,467614044547.03687
2024-05-29,ETH,3840.68886040005,18146426007.646515,462070810453.6889
2024-05-30,ETH,3765.3025567780796,15290595277.792278,452762636814.4171
2024-05-31,ETH,3748.6391523334596,13659082592.12581,450215609802.7726
2024-06-01,ETH,3761.0692456476336,12068376838.694778,452758719430.44403
2024-06-02,ETH,3813.452441559934,7216291113.118156,457995091024.9556
2024-06-03,ETH,3780.7119847349145,9915137834.269558,454304865087.93256
2024-06-04,ETH,3766.6376499412618,12609351903.623407,452084974218.36816
